city,admin_name,country,population,lat,lng
Warszawa,Mazowieckie,Poland,1860281,52.23,21.0111
Kraków,Małopolskie,Poland,800653,50.0614,19.9372
Łódź,Łódzkie,Poland,690422,51.7769,19.4547
Wrocław,Dolnośląskie,Poland,672929,51.11,17.0325
Poznań,Wielkopolskie,Poland,546859,52.4083,16.9336
Gdańsk,Pomorskie,Poland,486022,54.3475,18.6453
Szczecin,Zachodniopomorskie,Poland,403833,53.4325,14.5481
Bydgoszcz,Kujawsko-Pomorskie,Poland,346739,53.1219,18.0003
Lublin,Lubelskie,Poland,339850,51.25,22.5667
Białystok,Podlaskie,Poland,297554,53.1353,23.1456
Katowice,Śląskie,Poland,285711,50.2667,19.0167
Zielona Góra,Lubuskie,Poland,216781,51.9333,15.5
Toruń,Kujawsko-Pomorskie,Poland,201447,53.0222,18.6111
Rzeszów,Podkarpackie,Poland,195871,50.0333,22.0
Kielce,Świętokrzyskie,Poland,191605,50.8742,20.6333
Olsztyn,Warmińsko-Mazurskie,Poland,173599,53.7778,20.4792
Opole,Opolskie,Poland,127792,50.6667,17.9333
Gorzów Wielkopolski,Lubuskie,Poland,123341,52.7333,15.25
