time,temperature,precipitation,wind,latitude,longitude,city
2020-10-13T00:00,6.2,0.0,14.3,52.196835,21.08856,Warszawa
2020-10-13T01:00,6.1,0.4,15.5,52.196835,21.08856,Warszawa
2020-10-13T02:00,6.1,0.2,16.0,52.196835,21.08856,Warszawa
2020-10-13T03:00,5.9,0.1,17.7,52.196835,21.08856,Warszawa
2020-10-13T04:00,5.7,0.2,17.6,52.196835,21.08856,Warszawa
2020-10-13T05:00,5.7,0.5,15.9,52.196835,21.08856,Warszawa
2020-10-13T06:00,5.8,1.2,18.0,52.196835,21.08856,Warszawa
2020-10-13T07:00,5.9,1.4,18.6,52.196835,21.08856,Warszawa
2020-10-13T08:00,6.3,0.9,17.3,52.196835,21.08856,Warszawa
2020-10-13T09:00,6.5,0.6,20.1,52.196835,21.08856,Warszawa
2020-10-13T10:00,7.0,0.6,24.1,52.196835,21.08856,Warszawa
2020-10-13T11:00,7.3,0.4,24.4,52.196835,21.08856,Warszawa
2020-10-13T12:00,7.4,0.4,23.9,52.196835,21.08856,Warszawa
2020-10-13T13:00,7.7,1.3,24.4,52.196835,21.08856,Warszawa
2020-10-13T14:00,8.0,0.9,25.0,52.196835,21.08856,Warszawa
2020-10-13T15:00,8.1,0.6,24.7,52.196835,21.08856,Warszawa
2020-10-13T16:00,8.2,0.9,25.6,52.196835,21.08856,Warszawa
2020-10-13T17:00,8.3,0.3,26.7,52.196835,21.08856,Warszawa
2020-10-13T18:00,8.5,0.4,28.0,52.196835,21.08856,Warszawa
2020-10-13T19:00,8.9,1.1,29.3,52.196835,21.08856,Warszawa
2020-10-13T20:00,9.2,1.5,30.5,52.196835,21.08856,Warszawa
2020-10-13T21:00,9.3,2.6,31.6,52.196835,21.08856,Warszawa
2020-10-13T22:00,9.6,2.3,32.8,52.196835,21.08856,Warszawa
2020-10-13T23:00,9.9,3.5,32.7,52.196835,21.08856,Warszawa
2020-10-13T00:00,4.6,0.3,9.6,50.08787,19.982517,Kraków
2020-10-13T01:00,5.0,0.4,9.3,50.08787,19.982517,Kraków
2020-10-13T02:00,5.3,0.7,10.2,50.08787,19.982517,Kraków
2020-10-13T03:00,5.5,1.5,11.5,50.08787,19.982517,Kraków
2020-10-13T04:00,5.4,2.3,14.2,50.08787,19.982517,Kraków
2020-10-13T05:00,5.5,2.3,14.3,50.08787,19.982517,Kraków
2020-10-13T06:00,5.7,1.9,13.5,50.08787,19.982517,Kraków
2020-10-13T07:00,5.9,1.6,14.1,50.08787,19.982517,Kraków
2020-10-13T08:00,6.2,1.2,18.3,50.08787,19.982517,Kraków
2020-10-13T09:00,6.2,0.9,16.3,50.08787,19.982517,Kraków
2020-10-13T10:00,6.5,1.8,12.4,50.08787,19.982517,Kraków
2020-10-13T11:00,6.6,1.1,13.7,50.08787,19.982517,Kraków
2020-10-13T12:00,6.4,0.8,14.0,50.08787,19.982517,Kraków
2020-10-13T13:00,6.6,2.8,10.9,50.08787,19.982517,Kraków
2020-10-13T14:00,6.7,1.6,13.4,50.08787,19.982517,Kraków
2020-10-13T15:00,6.8,1.6,10.8,50.08787,19.982517,Kraków
2020-10-13T16:00,6.9,1.7,6.7,50.08787,19.982517,Kraków
2020-10-13T17:00,7.0,2.0,7.6,50.08787,19.982517,Kraków
2020-10-13T18:00,7.2,1.5,8.4,50.08787,19.982517,Kraków
2020-10-13T19:00,7.3,1.3,9.5,50.08787,19.982517,Kraków
2020-10-13T20:00,7.3,1.2,14.0,50.08787,19.982517,Kraków
2020-10-13T21:00,7.3,0.7,17.0,50.08787,19.982517,Kraków
2020-10-13T22:00,7.3,0.6,17.1,50.08787,19.982517,Kraków
